movie_id,language_id
1292052,1
1291546,2
1292720,1
1295644,1
1295644,3
1295644,4
1292063,3
1292063,5
1292063,1
1292722,1
1292722,3
1292722,5
1292722,6
1291561,7
1295124,1
1295124,8
1295124,5
1295124,9
3541415,1
3541415,7
3541415,4
3011091,1
3011091,7
1292001,1
1292001,4
1292001,3
1292064,1
3793023,10
3793023,11
3793023,1
2131459,1
1291549,4
1889243,1
1292213,12
1292213,2
5912992,13
25662329,1
25662329,14
1307914,12
1291560,7
1291841,1
1291841,3
1291841,15
1849031,1
1849031,12
3319755,1
6786002,4
1851857,1
1851857,2
1296141,1
1296141,5
1292365,2
1300267,1
20495023,1
20495023,16
1293172,1
1293172,2
1293172,7
26387939,10
1291552,1
1291552,17
1291552,18
1291552,19
1929463,1
1929463,20
1929463,4
1929463,7
1929463,10
1929463,2
30170448,21
30170448,22
2129039,1
1293182,1
1291858,2
1291858,7
1291858,23
1291583,7
1299398,12
1299398,2
1308807,7
21937452,13
1291828,3
1293839,1
1293839,3
1293839,5
1298624,1
21937445,13
1295038,1
1292000,1
26752088,2
26752088,1
26752088,24
26752088,10
1291548,1
1291548,15
1299131,1
1299131,3
1299131,16
1299131,15
1299131,25
1291572,1
1291572,19
1291572,26
1301753,1
1301753,27
1301753,28
1301753,29
1900841,5
1418019,2
1291571,1
1291571,19
1293350,1
1306029,1
1291818,2
1291818,30
1291818,31
1292224,1
1305487,1
1305487,4
1291843,1
1296736,1
1296736,5
1296736,6
1309046,1
1485260,1
1485260,6
1485260,4
26580232,16
3742360,2
3742360,32
3742360,33
1292402,3
1292402,1
1292402,15
1292402,34
1303021,35
3442220,1
3442220,7
1292849,1
1292849,4
1292849,5
1292849,36
1292220,7
3008247,1
3008247,16
1294408,1
1294408,5
1292262,1
1292262,4
1292262,3
27060077,1
27060077,3
27060077,6
27060077,5
1780330,1
25958717,5
25958717,37
25958717,38
1291832,1
1291832,16
1291832,4
1292223,1
1292223,39
1293544,1
1292343,1
1292679,12
1292679,2
1292679,16
2334904,1
2334904,5
1787291,7
1292656,1
11525673,1
11525673,4
11525673,5
1652587,1
1652587,16
1292370,1
1294639,1
1294639,4
1294639,15
1294639,40
1294371,1
1292215,4
1292215,6
1302425,12
1298070,1
1297192,1
1418834,1
1300299,13
1300299,1
6985810,41
6985810,1
6985810,9
1297359,7
26799731,1
26799731,3
26799731,4
26799731,5
26799731,8
3011235,1
1291875,2
2149806,7
1291999,12
1291999,2
1291999,1
1291999,10
1291999,7
1297630,1
1297630,15
1297630,16
25814705,7
10777687,13
21318488,1
1865703,7
1296339,1
1296339,5
1296339,4
25814707,7
3072124,1
3072124,42
1297052,7
1297052,1
1292434,2
1292434,30
1292434,1
1292434,7
1306249,12
4268598,7
3395373,1
3395373,21
1291545,1
1291545,4
1291545,6
1291545,12
1291545,2
4917726,13
1297447,12
5322596,1
1316510,12
1305164,12
1305164,2
1305164,1
2353023,1
5989818,7
11026735,1
1292337,7
1292274,1
1292274,43
1292274,16
1292274,6
1292274,2
1292274,5
1292274,4
1293359,7
4202302,7
21360417,13
1291990,1
1291990,4
1300992,1
3287562,1
1291579,1
1858711,1
1858711,16
1291585,7
